Step,PC,Prediction,Actual,Accuracy,Source
484,3001,1,1,0.8020618556701031,perceptron
485,4218,-1,1,0.8004115226337448,perceptron
486,4400,1,1,0.8008213552361396,perceptron
487,4876,1,1,0.8012295081967213,perceptron
488,4056,1,1,0.8016359918200409,perceptron
489,4453,1,1,0.8020408163265306,perceptron
490,4609,1,1,0.8024439918533605,perceptron
491,4615,-1,1,0.8008130081300813,perceptron
492,4947,-1,1,0.7991886409736308,perceptron
493,4605,1,1,0.7995951417004049,perceptron
494,4065,1,-1,0.797979797979798,perceptron
495,4249,1,1,0.7983870967741935,perceptron
496,4306,1,-1,0.7967806841046278,perceptron
497,4007,1,-1,0.7951807228915663,perceptron
498,4807,1,-1,0.7935871743486974,perceptron
499,4437,1,-1,0.792,perceptron
