Step,PC,Prediction,Actual,Accuracy,Source
522,1002,-1,-1,0.7782026768642447,perceptron
523,1003,-1,-1,0.7786259541984732,perceptron
524,1004,-1,-1,0.7790476190476191,perceptron
525,1000,1,-1,0.7775665399239544,loop
526,1001,-1,-1,0.777988614800759,perceptron
527,1002,-1,-1,0.7784090909090909,perceptron
528,1003,-1,-1,0.77882797731569,perceptron
529,1004,-1,-1,0.779245283018868,perceptron
530,1000,1,-1,0.7777777777777778,loop
531,1001,-1,-1,0.7781954887218046,perceptron
532,1002,-1,-1,0.7786116322701688,perceptron
533,1003,-1,-1,0.7790262172284644,perceptron
534,1004,-1,-1,0.7794392523364486,perceptron
535,1000,1,-1,0.7779850746268657,loop
536,1001,-1,-1,0.7783985102420856,perceptron
537,1002,-1,-1,0.7788104089219331,perceptron
538,1003,-1,-1,0.7792207792207793,perceptron
539,1004,-1,-1,0.7796296296296297,perceptron
540,1000,1,-1,0.7781885397412199,loop
541,1001,-1,-1,0.7785977859778598,perceptron
542,1002,-1,-1,0.7790055248618785,perceptron
543,1003,-1,-1,0.7794117647058824,perceptron
544,1004,-1,-1,0.7798165137614679,perceptron
545,2000,1,1,0.7802197802197802,loop
546,2000,1,1,0.7806215722120659,loop
547,2000,1,1,0.781021897810219,loop
548,2000,-1,1,0.7795992714025501,loop
549,2000,-1,-1,0.78,loop
550,2000,1,1,0.7803992740471869,loop
551,2000,1,1,0.7807971014492754,loop
552,2000,1,1,0.7811934900542495,loop
553,2000,-1,1,0.779783393501805,loop
554,2000,-1,-1,0.7801801801801802,loop
555,2000,1,1,0.7805755395683454,loop
556,2000,1,1,0.7809694793536804,loop
557,2000,1,1,0.7813620071684588,loop
558,2000,-1,1,0.7799642218246869,loop
559,2000,-1,-1,0.7803571428571429,loop
560,2000,1,1,0.7807486631016043,loop
561,2000,1,1,0.7811387900355872,loop
562,2000,1,1,0.7815275310834814,loop
563,2000,-1,1,0.7801418439716312,loop
564,2000,-1,-1,0.7805309734513274,loop
565,2000,1,1,0.7809187279151943,loop
566,2000,1,1,0.781305114638448,loop
567,2000,1,1,0.7816901408450704,loop
568,2000,-1,1,0.7803163444639719,loop
569,2000,-1,-1,0.7807017543859649,loop
570,3000,1,1,0.7810858143607706,perceptron
571,3001,1,1,0.7814685314685315,perceptron
572,3002,1,1,0.7818499127399651,perceptron
573,3000,1,1,0.7822299651567944,perceptron
574,3001,1,1,0.782608695652174,perceptron
575,3002,1,1,0.7829861111111112,perceptron
576,3000,1,1,0.7833622183708839,perceptron
577,3001,1,1,0.7837370242214533,perceptron
578,3002,1,1,0.7841105354058722,perceptron
579,3000,1,1,0.7844827586206896,perceptron
580,4047,-1,1,0.7831325301204819,perceptron
581,4087,1,-1,0.781786941580756,perceptron
582,4086,1,-1,0.7804459691252144,perceptron
583,4050,-1,1,0.7791095890410958,perceptron
584,4027,1,1,0.7794871794871795,perceptron
585,1000,1,-1,0.7781569965870307,loop
586,1001,-1,-1,0.778534923339012,perceptron
587,1002,-1,-1,0.7789115646258503,perceptron
588,1003,-1,-1,0.7792869269949066,perceptron
589,1004,-1,-1,0.7796610169491526,perceptron
590,1000,1,-1,0.7783417935702199,loop
591,1001,-1,-1,0.7787162162162162,perceptron
592,1002,-1,-1,0.7790893760539629,perceptron
593,1003,-1,-1,0.7794612794612794,perceptron
594,1004,-1,-1,0.7798319327731092,perceptron
595,1000,1,-1,0.7785234899328859,loop
596,1001,-1,-1,0.7788944723618091,perceptron
597,1002,-1,-1,0.7792642140468228,perceptron
598,1003,-1,-1,0.7796327212020033,perceptron
599,1004,-1,-1,0.78,perceptron
600,1000,1,-1,0.778702163061564,loop
601,1001,-1,-1,0.7790697674418605,perceptron
602,1002,-1,-1,0.7794361525704809,perceptron
603,1003,-1,-1,0.7798013245033113,perceptron
604,1004,-1,-1,0.7801652892561983,perceptron
605,1000,1,-1,0.7788778877887789,loop
606,1001,-1,-1,0.7792421746293245,perceptron
607,1002,-1,-1,0.7796052631578947,perceptron
